player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43924,Sukhdeep Singh Bajwa,False,0.0002524269391886807,0.0002524269391886807,finishing allrounder,285.0,,183.8709677419355,18.0,8.96078431372549,23.0,25.04,183.8709677419355,-65.99999999999999,-2.0
43925,Sukhwinder Manga,False,0.20456192056466813,0.20456192056466813,finishing allrounder,17.0,,73.91304347826087,5.0,7.837837837837838,6.0,30.02,73.91304347826087,4.999999999999998,-0.9999999999999997
43927,Manish Sheoran,False,0.0003039016984277032,0.0003039016984277032,finishing allrounder,6.0,,50.0,7.0,7.103448275862069,5.0,23.24,50.0,1.9999999999999996,1.9999999999999993
43930,Mayank Gupta,False,0.00028805566704805807,0.00028805566704805807,top/middle,357.0,,128.41726618705036,,,19.0,25.42,0.8452057535465366,-113.49999999999994,
43931,Abhy Chaudhary,False,9.068902667518286e-06,9.068902667518286e-06,top/middle,567.0,,133.09859154929578,,,17.0,23.42,133.09859154929578,322.99999999999994,
43932,Azam Nazar,False,0.0016327360055786715,0.0016327360055786715,top/middle,56.0,,78.87323943661971,,,5.0,24.95,78.87323943661971,23.999999999999996,
43933,Jashanpreet Singh Sidhu,False,1.1815937640358967e-07,1.1815937640358967e-07,top/middle,583.0,,135.58139534883722,,,26.0,26.58,135.58139534883722,-25.999999999999986,
43934,Deepin Chitkara,False,1.339595822968811e-07,1.339595822968811e-07,finishing allrounder,103.0,,118.39080459770115,11.0,7.669902912621359,24.0,26.23,118.39080459770115,-23.499999999999996,-2.9999999999999987
43936,Uday Kakkar,False,0.0036570236953957828,0.0036570236953957828,finisher,0.0,,0.0,,,1.0,21.1,0.0,,
43937,Simranjeet Singh Gharu,False,0.0004060815199834062,0.0004060815199834062,finishing allrounder,35.0,,112.90322580645162,19.0,7.203438395415473,20.0,23.9,112.90322580645162,3.4999999999999964,0.49999999999999895
4394,Graham Clark,False,0.005331892779717763,0.004532108862760099,top/middle,431.0,,152.29681978798587,,,14.0,32.7,11.990189010158344,,
43941,Tejpreet Singh,False,1.632686584956934e-05,1.632686584956934e-05,finishing allrounder,54.0,,114.8936170212766,10.0,7.830985915492958,16.0,25.29,114.8936170212766,19.999999999999993,-3.999999999999999
43944,Parkash Singh Saini,False,0.0322750808488969,0.0322750808488969,finishing allrounder,0.0,,0.0,2.0,13.5,4.0,27.06,0.0,,1.9999999999999996
43945,Kuljit Singh,False,0.00022008944437950983,0.00022008944437950983,finishing allrounder,10.0,,52.63157894736842,19.0,8.391459074733095,13.0,27.31,52.63157894736842,-3.999999999999999,-4.999999999999998
43946,Abhinav Sharma,True,0.9997881350533744,0.9997881350533744,finishing allrounder,279.0,,107.3076923076923,18.0,9.945945945945946,27.0,27.92,8.274883755043422,-35.49999999999999,-1.4999999999999998
43947,Ridham Satyawan,False,3.0702349477634003e-07,3.0702349477634003e-07,top/middle,478.0,,124.15584415584415,,,24.0,,124.15584415584415,-128.99999999999997,
43948,Aradhya Shukla,False,0.0016938061733357947,0.0016938061733357947,finishing allrounder,1.0,,14.285714285714286,25.0,8.08695652173913,19.0,20.97,14.285714285714286,0.9999999999999998,0.49999999999999895
43949,Eish Rao,False,6.246064834953433e-06,6.246064834953433e-06,top/middle,108.0,,89.25619834710744,,,12.0,,89.25619834710744,-3.9999999999999987,
43950,Aditya Partap Singh,False,1.828897869819236e-05,1.828897869819236e-05,opener,78.0,,98.73417721518987,,,5.0,23.86,98.73417721518987,-21.999999999999996,
43951,Taranveer Singh,False,0.00023121552837688684,0.00023121552837688684,top/middle,337.0,,119.9288256227758,,,19.0,18.33,119.9288256227758,-60.999999999999986,
43952,Vaibhav Karla,False,4.6420546417064925e-07,4.6420546417064925e-07,top/middle,484.0,,148.46625766871165,0.0,16.0,20.0,24.81,148.46625766871165,-137.99999999999994,
43953,Venus Grag,False,0.00020380182302524023,0.00020380182302524023,opener,61.0,,110.9090909090909,,,2.0,31.39,110.9090909090909,,
43954,Raman Arora,False,0.00037337178240034633,0.0003173660150402944,top/middle,119.0,,117.82178217821782,,,6.0,33.94,117.82178217821782,,
43955,Harjas Singh Tandon,False,5.466338774511035e-07,5.466338774511035e-07,finishing allrounder,156.0,,133.33333333333334,18.0,7.618768328445748,23.0,22.8,133.33333333333334,-33.99999999999999,-2.499999999999999
43956,Anush Prashar,False,7.131123826718714e-05,7.131123826718714e-05,finisher,0.0,,0.0,0.0,11.5,2.0,23.71,0.0,,
43957,Prabhkirat Singh,False,1.1516229093244532e-05,1.1516229093244532e-05,finishing allrounder,6.0,,60.0,6.0,7.572815533980583,11.0,23.71,60.0,0.0,1.9999999999999996
43958,Sandeep Singh,False,0.0016682803143663431,0.0016682803143663431,batting allrounder,1.0,,16.666666666666668,0.0,11.75,2.0,30.93,16.666666666666668,,
